model_approach,delta_rmse_5fold_minus_standard,delta_mae_5fold_minus_standard,delta_smape_5fold_minus_standard,delta_wape_5fold_minus_standard,delta_r2_5fold_minus_standard
transformer__per_station,-0.04072286277338533,-0.022965741157531694,-0.14388275146484375,-0.018075227737426758,0.0003461557867633358
gru__global,0.001591310527868206,0.0014080047607420987,18.78018417358399,0.0011081457138062412,0.0003037925251659912
transformer__global,0.006773442023580323,0.007413411140441806,1.0882446289062528,0.005834734439849831,-0.00010538858756514724
hybrid_loclstm__global,0.042756102534193374,0.0370111942291258,-12.294721984863287,0.029129505157470703,-0.0035549250310222824
lstm__global,0.07881469675858277,0.05870180130004865,21.65477752685547,0.04620141983032244,-0.00625500688879882
hybrid_loclstm__per_station,0.09133431880818144,0.07707242965698224,0.4097045898437557,0.06065993309020978,-0.020305557281225576
gru__per_station,0.12440502957083144,0.1451992034912113,0.9365921020507812,0.11427912712097177,-0.020139500011140704
lstm__per_station,0.22952044035348962,0.20272502899169886,0.8453140258789062,0.15955514907836932,-0.03742903577043101
