scenario,model,approach,model_approach,n_runs,mean_rmse,std_rmse,mean_mae,mean_mape,mean_smape,mean_wape,mean_r2
five_fold,transformer,global,transformer__global,5,2.5134203940509603,0.036567809300263605,1.0800906658172607,16.61694793701172,74.08480377197266,0.8500864863395691,0.6394683308025954
five_fold,transformer,per_station,transformer__per_station,5,2.8624448680914982,0.06521725952424157,1.4202558279037476,21.372274017333986,77.69902801513672,1.1178138256072998,0.6057607944941048
five_fold,gru,global,gru__global,5,3.9066113805705975,0.005570840339503428,2.0591579914093017,30.333158493041992,65.8790382385254,1.6206624269485475,0.5316550138795604
five_fold,hybrid_loclstm,global,hybrid_loclstm__global,5,5.1586422234326985,0.03731176057228123,3.122198152542114,54.58646011352539,75.09855804443359,2.457329273223877,0.345603200756479
five_fold,lstm,global,lstm__global,5,5.182811292564658,0.09089433693752758,3.1343191146850584,54.911705780029294,77.79290008544922,2.466869068145752,0.3441577634006993
five_fold,gru,per_station,gru__per_station,5,6.8114575185221655,0.05790442152457094,4.242679023742676,73.66520385742187,92.01630401611328,3.3392048835754395,0.1590057470015499
five_fold,hybrid_loclstm,per_station,hybrid_loclstm__per_station,5,7.92842914976463,0.10656844297257367,5.006357479095459,90.4540786743164,95.61128845214844,3.9402587890625,-0.04087134028674409
five_fold,lstm,per_station,lstm__per_station,5,7.974542015009982,0.08673366081479728,5.037841892242431,89.6900848388672,95.6638412475586,3.9650387287139894,-0.042675000968780116
standard,transformer,global,transformer__global,1,2.50664695202738,,1.0726772546768188,16.355117797851562,72.9965591430664,0.8442517518997192,0.6395737193901605
standard,transformer,per_station,transformer__per_station,1,2.9031677308648836,,1.4432215690612793,21.614343643188477,77.84291076660156,1.1358890533447266,0.6054146387073415
standard,gru,global,gru__global,1,3.9050200700427293,,2.0577499866485596,30.41778564453125,47.098854064941406,1.6195542812347412,0.5313512213543944
standard,lstm,global,lstm__global,1,5.103996595806075,,3.0756173133850098,54.016693115234375,56.13812255859375,2.4206676483154297,0.35041277028949813
standard,hybrid_loclstm,global,hybrid_loclstm__global,1,5.115886120898505,,3.0851869583129883,53.991676330566406,87.39328002929688,2.4281997680664062,0.3491581257875013
standard,gru,per_station,gru__per_station,1,6.687052488951334,,4.097479820251465,70.00605010986328,91.0797119140625,3.2249257564544678,0.1791452470126906
standard,lstm,per_station,lstm__per_station,1,7.7450215746564925,,4.835116863250732,87.84532165527344,94.81852722167969,3.80548357963562,-0.005245965198349103
standard,hybrid_loclstm,per_station,hybrid_loclstm__per_station,1,7.837094830956449,,4.929285049438477,90.33406829833984,95.20158386230469,3.87959885597229,-0.020565783005518517
